N,P,K,temperature,humidity,ph,rainfall,label
86.72,51.8,36.83,23.9239,85.5079,6.513,238.4468,rice
86.08,47.86,51.14,23.8897,86.1465,6.6832,221.8002,rice
75.36,39.46,45.23,22.5357,83.9461,6.4798,217.8244,rice
92.96,52.2,35.78,23.4892,81.4986,6.5197,240.2197,rice
92.61,47.46,40.86,21.1233,82.4401,6.0004,213.614,rice
90.05,51.5,36.75,24.386,85.6195,6.7291,225.8826,rice
87.65,50.04,33.7,22.7226,79.5492,6.5866,227.0774,rice
75.85,38.37,47.56,22.2159,83.106,6.7495,205.302,rice
85.79,40.52,53.46,24.5735,80.82,5.7759,241.8249,rice
86.57,50.98,33.61,21.9435,82.0862,7.0221,216.1509,rice
81.98,49.88,45.38,20.8873,85.8354,6.4651,203.3736,rice
88.39,44.83,38.1,20.6651,82.5733,6.777,231.8032,rice
94.04,45.94,39.08,23.909,82.1393,6.24,200.2337,rice
108.86,55.22,38.45,21.0794,77.9204,6.6532,220.62,rice
91.75,40.27,36.82,25.6322,84.2388,6.2366,219.7994,rice
92.58,49.38,42.29,19.8771,83.9365,6.3441,243.8897,rice
89.26,43.38,37.01,25.5447,88.4898,6.9785,230.4434,rice
70.81,43.26,43.62,23.3165,81.0767,6.4523,219.4494,rice
89.73,53.79,41.7,22.8549,82.6575,6.5544,237.9909,rice
90.6,51.6,40.57,22.1826,82.7482,6.7175,250.5846,rice
114.63,51.51,36.55,23.5987,86.7324,6.6239,232.2718,rice
88.08,55.44,38.54,22.9435,81.7141,6.5376,220.2278,rice
93.02,45.17,46.53,24.655,82.8371,6.5912,191.1396,rice
89.65,50.46,45.01,23.1713,83.8237,7.1009,196.5675,rice
78.31,42.52,36.13,23.2255,82.5598,6.4856,213.2851,rice
101.43,47.59,42.6,22.4546,80.6607,6.5503,206.5907,rice
97.52,43.96,46.51,22.9146,82.5823,6.7627,215.8866,rice
97.91,45.78,31.98,23.4617,85.2209,6.7764,221.2463,rice
80.91,49.76,45.26,20.4347,78.9205,6.7968,231.6532,rice
104.03,38.45,38.02,20.9777,82.3989,6.6597,218.449,rice
75.98,61.74,45.42,24.1149,79.8996,6.2142,230.703,rice
95.87,36.95,37.42,23.2563,85.5851,6.9084,221.4184,rice
111.9,35.29,31.17,22.724,77.4304,6.2134,176.5397,rice
80.09,54.26,32.23,23.0277,80.3232,6.5757,199.3346,rice
84.34,51.33,42.29,23.5214,83.1316,6.3114,216.8301,rice
91.0,49.99,43.56,22.1904,86.6966,6.484,193.3867,rice
84.97,50.03,36.57,21.8325,81.8027,6.5822,233.1984,rice
74.49,44.9,45.83,23.2938,80.3344,6.5803,253.6765,rice
90.69,37.82,32.03,21.5324,87.6435,6.6055,246.8128,rice
79.38,45.61,41.6,23.6124,77.656,6.9034,215.3043,rice
94.74,39.58,34.73,20.4461,75.4036,6.6134,252.796,rice
80.81,52.8,38.09,24.5437,83.32,6.439,223.2707,rice
105.5,43.82,42.28,23.7089,80.4938,6.741,212.5841,rice
82.17,38.4,36.84,23.384,78.9363,6.7974,206.5051,rice
86.78,42.43,39.69,24.474,84.1251,6.1931,213.3457,rice
98.14,48.3,48.04,25.4982,82.7314,6.6494,211.4601,rice
77.69,40.49,38.54,24.5216,80.3078,6.6753,223.7492,rice
92.27,38.42,47.01,20.2387,78.1591,6.4256,223.5326,rice
103.07,46.95,35.22,21.0806,84.6174,6.8439,220.067,rice
73.93,46.96,45.18,22.0628,83.9506,6.4625,229.6126,rice
91.85,40.94,50.65,23.0391,81.7025,6.5314,246.1942,rice
92.6,41.23,27.17,23.7765,87.5399,6.4567,240.8902,rice
97.82,46.86,37.22,21.9114,78.7897,6.5039,187.3322,rice
77.63,33.42,45.46,23.2802,77.4234,6.2259,163.8137,rice
76.8,33.74,40.78,21.8669,79.9243,6.14,240.555,rice
95.22,39.25,44.23,22.0827,81.8632,6.8986,189.9287,rice
92.97,43.29,38.38,20.89,82.73,6.2883,215.0552,rice
92.5,47.49,42.52,21.6152,81.2763,6.2522,194.2575,rice
93.46,56.8,41.07,20.9725,83.0562,5.9617,180.3564,rice
83.2,51.86,49.01,21.5362,78.2454,6.3403,231.9122,rice
92.32,43.72,43.53,24.5805,86.3313,6.1692,236.7014,rice
92.93,44.85,44.03,21.5759,81.7535,6.9105,207.3168,rice
82.86,36.98,39.53,26.9486,85.3519,6.7525,162.9971,rice
108.66,44.85,39.07,23.74,83.0282,6.328,207.9826,rice
94.74,42.69,39.4,23.2773,83.3703,7.0631,228.6197,rice
78.09,47.58,44.37,21.7125,83.7093,6.7454,187.4639,rice
96.57,38.38,39.47,24.0505,83.3431,6.4188,224.0339,rice
80.25,49.15,43.74,22.1365,83.9282,5.8751,219.6632,rice
97.87,57.26,54.45,23.183,85.9875,7.0727,232.7444,rice
101.59,44.13,47.23,26.8401,82.5896,6.1526,222.6308,rice
81.79,48.21,40.04,22.8559,84.127,6.0887,198.5925,rice
99.63,50.52,49.21,24.7239,81.7308,6.7556,246.3246,rice
94.13,41.79,39.55,21.9452,86.3204,7.1099,216.5123,rice
98.22,46.79,29.77,22.9475,79.9708,6.8461,219.3993,rice
108.97,45.1,35.95,25.6562,87.4028,6.641,199.4681,rice
87.55,45.78,30.78,22.0595,81.8795,6.6487,210.2478,rice
82.46,38.82,39.89,25.7187,77.7077,6.7134,200.5343,rice
81.1,45.2,42.11,24.0616,82.3843,6.6897,216.1952,rice
81.84,48.98,52.06,22.1563,79.9568,6.5703,257.6576,rice
89.23,56.61,43.96,23.9486,84.5219,6.5261,189.8182,rice
93.41,52.67,40.69,24.4588,80.0421,6.4844,184.5016,rice
92.77,62.23,46.98,23.9327,80.6614,6.3115,252.3657,rice
98.27,38.86,28.73,20.6447,76.3314,6.4298,215.3949,rice
90.13,51.98,43.41,21.9093,80.6431,6.0768,205.2804,rice
104.54,46.47,46.63,22.6287,74.7284,6.4754,242.8779,rice
87.35,62.52,33.13,22.8883,77.2483,6.2529,206.6765,rice
117.2,38.53,48.86,23.931,84.2812,6.2241,260.1722,rice
96.26,38.28,44.03,23.2666,84.3574,6.545,234.9144,rice
81.43,40.2,39.51,20.997,83.2764,6.848,209.2659,rice
79.29,28.01,45.8,23.5703,79.0991,6.7296,267.4608,rice
94.82,40.79,55.62,23.9159,81.8569,6.1074,206.6743,rice
87.77,38.93,43.09,23.8397,81.9892,6.2526,236.3261,rice
97.14,46.2,43.49,24.6212,78.5249,6.7352,226.5844,rice
94.73,47.73,39.24,24.2509,86.5102,6.2544,248.6383,rice
89.27,60.01,36.9,23.6888,84.6321,6.4438,254.3532,rice
81.53,52.6,46.98,22.8948,81.3371,6.6375,220.7041,rice
74.85,40.38,36.86,20.5086,82.0807,6.2579,203.4248,rice
85.53,37.81,42.43,23.6444,82.6251,6.5263,230.1194,rice
98.56,48.94,39.13,23.3115,75.8748,6.1665,205.0903,rice
92.14,34.44,44.87,23.4074,81.2585,6.3497,264.2945,rice
77.54,59.65,44.0,21.0849,79.954,6.5799,223.0038,rice
91.73,54.44,48.23,21.3784,78.9951,6.1018,211.9629,rice
93.85,41.25,38.94,24.5797,81.1567,6.6101,224.063,rice
81.16,31.29,40.38,22.9407,87.3931,6.4951,190.3632,rice
91.54,55.83,36.13,24.0223,83.9225,6.6381,198.6245,rice
90.58,44.08,39.33,23.0425,80.2865,6.556,246.4091,rice
78.57,54.9,44.26,23.0446,83.7177,6.841,205.5483,rice
94.53,53.54,51.41,16.6496,84.6304,6.0474,43.2345,wheat
110.37,66.0,39.64,17.711,70.6637,6.3619,68.1971,wheat
116.86,49.83,35.75,16.4152,77.0383,6.1087,55.6464,wheat
112.19,48.61,30.92,17.3841,62.9471,6.2049,50.1033,wheat
114.96,51.14,29.18,14.2128,65.3049,6.8857,55.7565,wheat
97.43,47.37,30.5,18.4266,75.3068,6.7692,60.1547,wheat
90.78,55.98,41.6,18.0024,82.3888,5.8451,55.9526,wheat
120.01,68.0,43.05,16.3658,74.4893,6.5904,39.9443,wheat
101.77,57.58,30.51,19.3185,69.8086,6.584,70.9707,wheat
102.49,52.98,45.37,19.8751,71.995,5.8981,74.7488,wheat
118.28,52.67,37.1,14.7849,63.2471,6.5866,68.5152,wheat
110.56,42.49,40.88,16.4746,76.2316,6.8383,50.6231,wheat
109.56,62.06,49.67,16.4617,78.1763,5.9071,59.9851,wheat
126.65,54.38,45.38,16.1202,68.8354,5.9789,61.9348,wheat
98.56,53.56,38.39,19.6589,68.7097,6.6562,67.9879,wheat
114.28,80.54,34.65,17.6123,73.8611,6.395,68.6834,wheat
105.57,57.39,27.09,17.471,68.943,6.493,54.6583,wheat
107.69,48.99,35.69,13.9923,71.5371,6.4192,62.82,wheat
120.28,51.59,38.73,19.2708,86.6981,6.4367,66.5728,wheat
110.08,64.19,34.08,15.5215,70.2708,5.8357,76.5582,wheat
110.38,55.91,39.21,18.1199,69.4916,6.6666,69.0451,wheat
115.73,43.49,40.46,18.5548,67.4672,6.7094,69.8906,wheat
101.35,62.35,38.65,20.7213,77.2093,6.2197,62.8383,wheat
96.61,49.65,36.1,15.3824,70.7314,6.2848,76.1046,wheat
94.55,69.99,41.01,11.961,67.4544,5.7641,66.0976,wheat
85.34,63.64,42.65,18.3677,81.2491,6.48,53.3891,wheat
125.56,51.42,33.46,21.601,81.9372,6.5002,76.0337,wheat
93.97,65.25,48.47,20.4779,67.797,6.2782,68.979,wheat
102.79,55.54,39.41,18.4193,58.9342,6.6935,57.5696,wheat
102.23,61.82,40.11,17.0167,79.0526,6.1831,57.2051,wheat
108.07,58.88,44.25,19.6142,67.2076,6.4976,64.9658,wheat
113.16,48.23,41.4,16.0529,77.5344,5.9431,66.6318,wheat
113.6,49.85,45.72,18.9527,58.2093,6.2918,63.9729,wheat
99.17,63.24,41.72,19.0109,78.2482,6.239,65.1131,wheat
103.33,52.32,36.33,20.1204,63.5218,6.3789,78.9996,wheat
107.83,51.77,42.17,23.5193,77.1153,6.1707,72.7154,wheat
102.51,47.36,33.14,18.7848,72.0999,6.254,63.9064,wheat
121.07,58.39,40.65,16.9821,65.3224,6.5891,71.4131,wheat
109.91,71.5,39.8,17.9489,69.1507,6.1471,51.6748,wheat
112.35,46.46,38.75,14.4618,76.8042,5.7377,65.9793,wheat
111.63,55.19,39.23,16.6106,72.7413,6.9124,80.0931,wheat
116.73,66.3,28.71,17.1814,76.0909,6.7835,59.8195,wheat
106.81,54.36,36.71,16.9518,85.8351,5.8477,53.5237,wheat
92.03,58.62,40.56,18.3047,61.0503,6.5414,55.4791,wheat
109.0,46.5,40.96,16.3552,83.3205,6.124,51.1037,wheat
98.49,58.43,33.83,20.2421,72.7305,6.3922,54.1524,wheat
99.71,53.5,47.59,18.0004,65.7085,6.403,58.2949,wheat
110.86,62.89,34.8,17.9814,62.6878,6.218,47.9443,wheat
117.38,64.5,45.82,17.3442,70.6762,6.0257,62.1562,wheat
105.21,75.72,42.56,18.3104,78.4516,6.0583,71.0228,wheat
108.09,59.64,36.12,19.6502,71.1072,5.9793,52.9224,wheat
122.02,57.61,50.65,16.2657,82.5781,6.0089,77.1928,wheat
107.41,56.56,32.84,16.6838,61.8418,6.2765,67.1079,wheat
131.02,52.17,45.51,17.3925,71.9154,6.0495,72.3058,wheat
110.66,57.71,46.0,15.3083,63.2332,6.5387,55.4217,wheat
87.39,52.64,35.98,16.3615,74.5454,6.8205,70.5453,wheat
112.53,56.35,48.35,17.0476,78.2082,6.097,51.0807,wheat
108.81,65.54,38.5,19.7488,69.0547,6.3838,70.9025,wheat
117.9,46.95,41.73,18.5251,53.7705,6.4749,63.7184,wheat
111.73,64.12,41.56,18.3872,73.3926,6.4652,67.5325,wheat
103.62,65.54,39.19,19.7018,75.0572,6.3266,50.2441,wheat
92.76,54.06,44.86,17.7253,74.8301,6.5599,53.0493,wheat
102.91,38.03,44.76,18.7809,80.6505,6.4688,67.9723,wheat
96.49,50.14,29.51,17.7936,64.5026,5.8668,52.5165,wheat
99.19,65.38,47.83,18.5307,76.7615,6.6042,66.6321,wheat
110.89,54.82,30.03,16.8345,80.3476,6.6106,48.3286,wheat
121.7,47.01,46.2,13.1224,59.5499,6.0328,70.4817,wheat
108.95,50.96,46.76,17.7314,74.2376,6.3133,49.6748,wheat
93.04,61.72,33.45,20.8455,68.4707,6.5392,67.523,wheat
109.45,59.37,37.54,19.8524,71.4293,6.2267,68.2563,wheat
116.97,53.09,33.37,19.9308,74.4337,6.6755,55.0323,wheat
98.9,52.07,38.71,20.4723,68.5894,7.1274,67.8203,wheat
103.66,51.87,38.15,18.1773,67.27,6.0249,64.6044,wheat
105.15,47.62,44.68,18.3946,72.2391,5.8166,56.6116,wheat
97.15,67.92,47.86,16.7647,64.3893,6.4063,51.9145,wheat
111.48,52.42,48.37,17.3679,64.3992,6.5525,42.3737,wheat
103.79,64.74,36.63,19.2315,76.7556,6.2192,65.4965,wheat
109.2,67.17,38.74,20.4078,63.9584,6.8086,46.352,wheat
96.13,62.99,29.9,17.7211,76.6642,5.8315,62.9534,wheat
100.63,51.55,35.16,17.0996,75.2381,6.5425,59.3655,wheat
112.22,58.23,45.79,18.0011,59.9194,6.0879,68.7914,wheat
101.27,54.81,49.69,19.2024,67.257,6.9018,58.9795,wheat
122.27,47.77,32.59,15.1123,80.3588,6.9974,58.7055,wheat
101.0,57.59,36.45,13.4076,65.1318,6.0317,69.3187,wheat
107.25,45.57,39.84,16.8989,68.7492,6.1077,65.3506,wheat
114.33,64.5,41.68,15.5586,75.2344,6.6009,65.1616,wheat
90.82,51.28,35.14,16.9837,77.4837,6.1645,66.6927,wheat
87.39,56.61,42.54,17.7044,70.2392,6.2841,46.6443,wheat
89.74,57.27,37.16,17.0935,67.8174,6.3089,69.5679,wheat
117.63,52.93,39.91,20.9049,81.9566,5.6281,68.1247,wheat
99.48,59.69,43.28,18.6535,84.1723,6.2952,51.8332,wheat
130.58,51.2,40.04,18.6009,78.852,6.0586,59.5592,wheat
99.36,61.97,37.38,19.2444,72.5972,6.1274,61.6069,wheat
106.85,44.23,39.34,15.7223,66.3421,6.8053,60.655,wheat
120.42,56.01,39.47,20.0782,66.1869,5.8602,65.3386,wheat
125.06,70.51,37.78,17.8485,75.6576,6.5846,76.3137,wheat
125.62,47.0,38.45,19.341,74.9288,6.2024,72.8177,wheat
117.08,49.58,49.59,15.8563,81.8112,6.2021,48.8778,wheat
115.24,59.11,43.37,14.8925,76.5532,6.5766,68.2207,wheat
110.93,56.44,38.23,19.6358,61.4784,6.419,75.2893,wheat
112.78,57.81,44.18,18.7528,79.3636,6.4997,65.8681,wheat
99.49,58.91,38.0,16.1959,65.0136,6.6389,72.9098,wheat
96.82,60.08,47.04,16.2607,69.3122,6.184,82.1227,wheat
104.97,63.88,42.22,20.2509,73.7514,6.0857,72.2371,wheat
103.3,58.28,39.36,15.6212,85.9697,5.9202,64.4931,wheat
100.47,53.07,42.69,21.2853,93.7694,6.0111,72.4509,wheat
111.96,60.38,30.57,16.1988,76.2471,7.3322,63.4489,wheat
114.55,70.2,33.24,19.2768,70.7176,6.7356,62.239,wheat
105.88,53.94,32.84,17.3428,75.7415,5.8271,58.4859,wheat
119.78,47.2,40.86,19.2064,78.2136,5.8371,77.6341,wheat
93.58,63.86,50.4,16.9118,69.7553,6.4687,53.8157,wheat
103.06,54.04,53.39,17.6744,84.5665,6.4915,77.3237,wheat
97.83,37.62,43.83,18.0818,73.6105,6.4921,66.9986,wheat
86.33,61.78,43.01,15.9956,75.4842,6.2108,48.0069,wheat
104.17,50.72,29.19,19.4816,76.6615,6.2561,65.6765,wheat
103.78,54.28,36.74,16.9736,74.9511,6.4148,40.9997,wheat
120.13,57.66,35.27,17.5428,77.8726,6.3301,68.2551,wheat
111.31,56.52,36.27,16.0113,67.6792,5.5232,70.8523,wheat
94.76,60.68,38.99,12.8753,68.0919,6.2196,56.0764,wheat
123.54,51.52,37.17,17.6179,64.2989,6.002,63.2355,wheat
117.21,59.1,28.12,22.8252,75.0765,6.3613,81.5416,wheat
110.82,52.92,44.49,19.5692,77.4526,7.3448,56.9425,wheat
102.74,60.91,33.56,17.9615,75.2044,6.4286,51.4109,wheat
95.41,59.92,41.44,17.4742,83.7214,6.1903,76.8166,wheat
101.28,47.52,52.44,18.0449,71.9608,6.6226,81.6259,wheat
115.89,63.69,34.48,19.0942,76.6812,6.4689,62.037,wheat
123.85,50.71,24.82,15.6384,64.3581,6.447,72.1146,wheat
120.43,61.46,38.28,20.2286,69.2903,6.5124,75.4148,wheat
100.11,57.94,46.61,19.4308,76.8688,7.0198,54.5752,wheat
93.8,69.71,51.75,19.4364,77.9437,5.9042,57.1469,wheat
106.41,53.21,32.62,18.877,69.9422,6.4658,74.3087,wheat
87.32,52.21,42.98,18.0392,71.4988,5.9758,78.8501,wheat
108.23,54.84,37.21,19.3457,61.3749,6.4944,67.6288,wheat
103.52,52.57,39.36,19.1836,69.5008,5.9785,53.2019,wheat
100.34,61.4,55.87,17.2919,78.2327,6.1539,81.8706,wheat
89.05,42.07,30.98,16.8528,76.0264,6.1967,56.6903,wheat
110.14,46.57,41.52,18.2037,75.5047,6.6415,58.6486,wheat
99.67,46.46,42.81,21.098,72.3484,6.6215,65.4234,wheat
93.3,62.6,46.51,15.5218,72.0494,5.864,77.5416,wheat
76.28,68.68,40.59,15.0649,67.3778,6.3192,70.5398,wheat
104.72,54.16,41.85,18.3295,76.8918,6.0516,66.1487,wheat
122.72,53.65,37.65,18.1018,74.9468,5.8595,66.6329,wheat
121.61,55.56,41.61,18.3467,75.4441,6.224,62.4351,wheat
100.43,64.3,37.94,18.4879,68.3178,6.192,67.5814,wheat
98.98,47.58,43.73,17.5536,56.9266,7.1494,36.7044,wheat
109.69,56.91,37.78,20.9797,79.6801,6.4515,59.0339,wheat
95.02,62.8,42.26,14.7982,68.6481,5.8178,64.4132,wheat
108.02,59.01,39.82,16.343,65.9606,6.1023,50.4899,wheat
112.66,56.52,46.76,17.7935,76.8544,6.6575,65.8632,wheat
117.27,63.01,39.69,14.7136,69.2559,7.031,59.9553,wheat
104.0,33.37,29.36,17.6483,79.4196,5.7449,79.5548,wheat
102.96,60.42,47.57,21.3229,76.319,5.642,77.7302,wheat
96.22,49.77,34.57,18.0418,76.785,6.9548,57.3419,wheat
96.73,40.35,36.08,18.4614,62.4383,6.4364,60.4916,wheat
102.74,59.09,36.43,15.4797,80.4836,5.9961,61.2605,wheat
108.67,65.99,48.25,16.7673,73.8288,6.4871,57.4834,wheat
114.14,53.9,27.19,17.2496,69.4151,5.3775,63.9502,wheat
96.97,62.62,58.83,17.3646,73.0037,6.3012,54.4172,wheat
119.93,67.9,46.34,20.5633,59.5664,6.4147,50.6938,wheat
102.29,65.52,41.34,19.1154,74.8606,6.6235,68.2271,wheat
104.79,68.12,39.67,15.7771,64.7944,5.9451,68.2953,wheat
97.53,60.94,41.71,18.493,62.5313,6.33,53.9568,wheat
80.76,55.6,43.13,18.9964,61.3435,5.9761,70.9536,wheat
113.84,42.18,43.87,20.2803,79.7888,6.3894,55.6842,wheat
112.37,53.03,43.33,21.1611,67.5952,5.9866,64.5317,wheat
102.19,48.25,40.54,15.9698,82.7361,6.1572,70.2034,wheat
105.67,72.37,38.82,16.3783,68.2494,5.9515,61.6639,wheat
110.16,53.59,39.09,15.4848,60.0485,6.5279,66.5474,wheat
89.37,55.99,38.83,17.532,64.1843,6.6005,56.8357,wheat
99.71,59.41,46.8,18.9327,80.6507,6.2179,60.0353,wheat
112.94,55.35,43.56,19.9747,70.9087,6.3134,59.9414,wheat
92.46,68.56,22.36,17.8481,68.162,5.793,54.5342,wheat
107.94,50.02,43.94,17.3603,73.1201,6.1951,60.2323,wheat
91.43,56.56,41.17,18.3035,75.5125,6.2824,46.5138,wheat
109.66,49.06,39.89,16.3297,79.8218,7.2173,57.0885,wheat
104.64,44.44,37.67,22.1791,82.1395,5.9108,59.1512,wheat
88.85,50.11,46.74,14.7847,69.4816,6.8125,59.4382,wheat
116.65,54.7,45.69,18.3695,62.7177,6.6489,59.585,wheat
97.65,51.57,35.36,22.0472,69.1057,6.3982,61.3824,wheat
96.9,49.46,42.44,18.0136,73.822,6.9155,66.7944,wheat
107.01,43.75,34.17,17.6199,65.2537,6.4302,70.7452,wheat
116.49,54.34,31.72,17.2851,65.2999,6.4362,55.5023,wheat
94.84,42.96,36.24,17.6392,74.4065,6.2814,49.968,wheat
105.62,61.08,45.17,20.7457,71.6594,6.7282,51.5796,wheat
109.29,55.66,45.72,13.5763,72.2296,6.6838,57.128,wheat
111.93,43.34,43.08,21.0669,66.6905,6.081,58.4808,wheat
106.76,52.53,44.35,15.1521,70.3872,5.8383,54.3,wheat
101.33,48.98,43.1,17.4667,65.5304,6.229,49.0388,wheat
96.72,57.55,36.15,17.1415,78.2314,6.02,57.4388,wheat
105.86,65.72,42.59,19.1771,79.2467,6.2778,63.8143,wheat
94.28,40.0,44.8,14.8038,59.0767,6.7331,67.9503,wheat
75.79,55.92,44.53,18.9243,65.4934,6.1399,56.4258,wheat
109.37,53.72,47.13,22.0486,61.5243,6.285,57.87,wheat
114.04,60.37,44.25,15.2737,67.4498,6.3203,52.733,wheat
81.37,56.71,42.11,18.3794,71.4159,6.597,61.6856,wheat
94.9,48.98,46.42,16.676,61.8525,5.5136,53.5157,wheat
